Letter,x_box,y_box,width,height,onpix_total,x_bar,y_bar,x2_bar,y2_bar,xy_bar,x2y_bar,xy2_bar,x_ege,xegvy,y_ege,yegvx,Label
E,5.505156979083098,6.903895077020888,3.143153088593457,8.036417847882749,1.8042242348635344,3.3103064587362327,6.441665995920779,4.843611227710353,2.3704313442443135,6.588321129294427,1.707257958573944,3.427944881982505,3.0090832421769607,6.079344497303559,2.663874679693836,3.1193497693147583,attack
A,9.52870914491395,8.997737216856217,8.314152172570793,5.424612244010961,1.9271342536592924,11.068345497021285,8.780933855522997,5.7348409206853495,9.583783563260159,10.069547618972582,1.5163745398684645,9.341732249718973,3.413050832338858,6.1490048345541375,0.6471100814269675,7.119639071903114,attack
F,2.046807994255383,10.593459825582519,4.253625254489571,2.3388912977238734,5.7820297309219715,2.3422943538960803,8.410701715299977,3.6804737632861753,5.992167862502563,11.5501497159444,4.490127781081155,6.596512888457031,0.3073410051666241,7.740493007506842,3.3988018509348077,7.463451223013373,normal
B,2.0981637703197444,0.852455859408316,1.340652250468595,4.515619551628483,3.5294121252328194,7.333931332104942,9.448625493306864,3.046419999638017,6.845137319588814,8.923766555167363,6.769303713290478,8.553528091837386,3.2569282790926026,8.282488157979078,2.3998592440542317,4.924881148719267,normal
E,5.582611476040045,7.925892153205977,4.115478039329369,6.21951358948117,3.0790697495894226,5.844207043733858,0.827342878159147,6.84562844031057,5.992320582842318,8.18260943147896,6.986940081936629,9.41700872276179,4.16422180336981,5.787400463522259,1.4918327173500834,7.867430324057549,normal
H,3.215603088042392,1.417134861305347,5.2599448307813415,4.686281849406511,7.382315147188519,5.392235810853355,9.28555790241705,0.47163547834153086,3.5016422208737117,9.82951626024671,5.779227269021283,5.876413260357571,4.533660000972325,5.143426463896456,0.4508859659284816,7.578709555227398,attack
D,9.056996274676052,7.476890204930392,4.043865357540512,4.618317234129699,1.65631186794378,6.1780413873628595,9.891966325653103,4.84826460153823,5.5827196938366095,8.251190979833854,3.4861805182251246,2.4359752194652007,0.6880103219815825,4.782892128965303,0.3095066121694803,7.829882562264434,normal
E,5.025101150892812,13.492495607345955,2.5692781894173122,3.215801656349156,5.931857793313515,5.3812283707225,9.820967506832488,3.3983393515427256,6.029558429999296,8.942660262559995,5.652328653102138,11.855796420174446,2.1105137106290868,8.220244520233077,0.7438833407778804,5.587552952143302,normal
F,0.8662773404298534,4.006126693112224,0.3821147852574609,3.416480280692764,6.3679002212785445,5.28119614544223,7.636291414676971,5.371555027309515,1.6122718361777144,12.65379198383312,3.596591268874891,11.418605384731938,0.020290383794366207,7.596007596134965,2.9726790381064605,7.659524710702536,attack
B,1.2104492256320771,1.3343232410087067,2.3551081529274933,5.556147977761277,2.312495601503963,9.9960170093397,13.265258375642517,1.6388519714222443,7.287641213333945,7.157328907379953,5.907313064047195,7.911517085048606,1.2427613552682892,4.026709103170342,1.8359623747982323,8.188257256762462,attack
